Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 65.74     10.26    10.26                             chord(unsigned char const*, int, int, int, int, int, bool)
 13.01     12.29     2.03                             matchFindFiducials(cv::Mat, cv::Mat, int, cv::Point_<int>*, int)
  4.49     12.99     0.70                             float& cv::Mat::at<float>(int, int)
  2.05     13.31     0.32                             cv::Size_<int>::operator=(cv::Size_<int> const&)
  0.64     13.41     0.10                             matchKernel(cv::_OutputArray const&)
  0.58     13.50     0.09                             std::vector<char, std::allocator<char> >::_M_insert_aux(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >, char const&)
  0.51     13.58     0.08                             std::vector<int, std::allocator<int> >::push_back(int const&)
  0.38     13.64     0.06                             std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.32     13.69     0.05                             std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.29     13.74     0.05                             std::_Miter_base<int*>::iterator_type std::__miter_base<int*>(int*)
  0.29     13.78     0.05                             std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.26     13.82     0.04                             float& cv::Mat::at<float>(cv::Point_<int>)
  0.26     13.86     0.04                             unsigned char& cv::Mat::at<unsigned char>(cv::Point_<int>)
  0.22     13.90     0.04                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.22     13.93     0.04                             std::vector<bool, std::allocator<bool> >::begin() const
  0.22     13.97     0.04                             std::_Niter_base<char*>::iterator_type std::__niter_base<char*>(char*)
  0.19     14.00     0.03                             std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.19     14.03     0.03                             std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::operator[](unsigned long)
  0.19     14.06     0.03                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_fill_insert(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, unsigned long, std::vector<int, std::allocator<int> > const&)
  0.19     14.09     0.03                             std::vector<int, std::allocator<int> >::back()
  0.19     14.12     0.03                             std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.16     14.14     0.03                             __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::operator-(long const&) const
  0.16     14.17     0.03                             std::_Iter_base<int*, false>::_S_base(int*)
  0.16     14.19     0.03                             char* std::__copy_move_a<false, char*, char*>(char*, char*, char*)
