Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 81.68     10.11    10.11                             chord(unsigned char const*, int, int, int, int, int, bool)
  0.89     10.22     0.11                             morphPeakFind(cv::Mat, morphParams, int*, int)
  0.57     10.29     0.07                             std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.53     10.36     0.07                             std::_Niter_base<char*>::iterator_type std::__niter_base<char*>(char*)
  0.48     10.42     0.06                             int* std::uninitialized_copy<int*, int*>(int*, int*, int*)
  0.48     10.48     0.06                             float& cv::Mat::at<float>(int)
  0.48     10.54     0.06                             int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.48     10.60     0.06                             std::vector<char, std::allocator<char> >::_M_insert_aux(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >, char const&)
  0.32     10.64     0.04                             chordCenter(unsigned char const*, int, int, int, int, double*)
  0.28     10.67     0.04                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::back()
  0.24     10.70     0.03                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.24     10.73     0.03                             std::vector<bool, std::allocator<bool> >::begin() const
  0.24     10.76     0.03                             std::vector<int, std::allocator<int> >::size() const
  0.24     10.79     0.03                             char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char>(char const*, char const*, char*)
  0.24     10.82     0.03                             std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.24     10.85     0.03                             int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*)
  0.20     10.88     0.03                             std::vector<char, std::allocator<char> >::_M_check_len(unsigned long, char const*) const
  0.20     10.90     0.03                             std::_Iter_base<char*, false>::_S_base(char*)
  0.20     10.93     0.03                             std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::~_Vector_base()
